Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Sustainable Plastics Solutions,Sustainable Plastic Solutions Pty Ltd,Reprocessor,Plastics reprocessing,979 Hensley Park Rd,Hensley Park ,Southern Grampians,-37.64830686,142.0584085
Red3,Red 3 Pty Ltd,Reprocessor,Plastics reprocessing,"Factory 1, 5 Gladstone Road",Dandenong,Greater Dandenong,-37.97402147,145.2067459
Wimmera Wastebusters Recycling,Wimmera Wastebusters Recycling,Reprocessor,Plastics reprocessing,44 Golf Course Rd,Horsham ,Horsham,-36.735218,142.200462
Smart Recycling (Epping),S.M.A.R.T Recycling Pty Ltd,Reprocessor,C&D waste recycling,480 Cooper Street,Epping,Whittlesea,-37.64310551,144.9778148
Smart Recycling (Brooklyn),S.M.A.R.T Recycling Pty Ltd,Reprocessor,C&D waste recycling,455A Somerville Rd,Brooklyn,Brimbank,-37.8092409,144.8457475
Australian Paper Recovery (Thomastown),APR,Reprocessor,Paper & cardboard recovery,8 - 10 Aylward Avenue,Thomastown,Whittlesea,-37.69160224,144.993492
Rubber Recycling,Rubber Recycling,Hazardous waste,End-of-life tyres facility,29-31 Plummer Rd,Laverton North,Wyndham,-37.81864421,144.8147225
M.B.C. Recyling Services,Calleja Group,Reprocessor,C&D waste recycling,11 Tilleys Road,Maddingley,Moorabool,-37.69944971,144.4461394
Warrnambool Transfer Station,Warrnambool City Council,Resource Recovery Centre,Transfer station,10 Mason Street,Warrnambool,Warrnambool,-38.3771992,142.536447
Benambra Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,142 Tip Road,Benambra,Benambra,-36.95691737,147.6949495
Bendoc Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,54 Clarkeville Road,Bendoc,Bendoc,-37.15338771,148.8827268
Ace Recycling (Williamstown),Ace Recycling Group,Reprocessor,E-waste recycling,63 Albermarle Street,Williamstown,Hobsons Bay,-37.85086052,144.8587539
Ararat Resource Recovery Centre (Composting),Ararat Rural City Council,Reprocessor,Organics recycling,22 Surface Hill Road,Ararat,Ararat,-37.296535,142.930471
Fulton Hogan Depot (Warrnambool),Fulton Hogan,Reprocessor,Glass reprocessing (crushing),20 Mason Street,Warrnambool,Warrnambool,-38.37778916,142.5386113
Swan Hill Rural City Council (Transfer Station),Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,6859 Swan Hill-Sea Lake Road ,Swan Hill,Swan Hill,-35.349929,143.509847
EcoBatt (Campbellfield),Ecocycle Pty Ltd,Reprocessor,E-waste recycling,5-11 Reo Crescent,Campbellfield,Hume,-37.64686707,144.9383696
The Mattress Recycling Company (Geelong),Junk Group Pty Ltd,Reprocessor,Mattress recycling,116 Furner Ave,Bell Park ,Greater Geelong,-38.10335746,144.3438345
Australian Soft Plastics Recycling (ASPR),Austsing Enterprise Pty Ltd,Reprocessor,Plastics reprocessing,2 Innovation Way ,Pakenham,Moorabool,-38.09929812,145.472189
Bardee,Bardee,Reprocessor,Organics recycling,51-59 North View Drive,Sunshine West,Brimbank,-37.80453377,144.8146415
Viridian Renewable Technology ,Viridian Renewable Technology Pty Ltd,Reprocessor,Organics recycling,17 Derrimut Drive,Derrimut,Brimbank,-37.80956893,144.7553031
Manhari International (Tottenham),Manhari International Pty Ltd,Reprocessor,Metals recovery,414 Somerville Rd,Tottenham,Maribyrnong,-37.80970159,144.858388
Manhari International (Ararat),Manhari International Pty Ltd,Reprocessor,Metals recovery,169 Elizabeth St,Ararat,Ararat,-37.29446001,142.9538774
Manhari International (Horsham),Manhari International Pty Ltd,Reprocessor,Metals recovery,52 Hamilton Street,Horsham,Horsham,-36.73787796,142.2047545
Lotus Recycling ,Lotus Energy Recycling Pty Ltd,Reprocessor,E-waste recycling,2/72 Northgate Drive,Thomastown,Whittlesea,-37.68793718,145.0358729
North Geelong Transfer Station,Recycle Group Pty Ltd,Resource Recovery Centre,Transfer station,116 Furner Ave,Bell Park ,Greater Geelong,-38.10335746,144.3438345
