Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Inverloch Transfer Station,Bass Coast Shire Council,Resource Recovery Centre,Transfer station,Old Ford Road,Inverloch,Bass Coast,-38.626627,145.743454
Jarrad's Road Resource Recovery Centre,Glenelg Shire Council,Resource Recovery Centre,Transfer station,Jarrads Road,Merino,Glenelg,-37.74241667,141.5227222
Jeparit Transfer Station,Hindmarsh Shire Council,Resource Recovery Centre,Transfer station,Jeparit East Road,Jeparit,Hindmarsh,-36.134532,141.994778
Kaniva Transfer Station,West Wimmera Shire Council,Resource Recovery Centre,Transfer station,South Lillimur Road,Kaniva,West Wimmera,-36.3848,141.2255
Kerang Transfer Station,Gannawarra Shire Council,Resource Recovery Centre,Transfer station,Kerang-Murrabit Road,Kerang,Gannawarra,-35.719978,143.925742
Killarney Resource Recovery Centre,Moyne Shire Council,Resource Recovery Centre,Transfer station,300-400 Badhams Road,Crossley,Moyne,-38.31799652,142.2989197
Kinglake Resource Recovery Centre,Murrindindi Shire Council,Resource Recovery Centre,Transfer station,205 Watsons Road,Kinglake West,Murrindindi,-37.46069411,145.2751427
Kingston Waste Transfer Station,Rhino Bins,Resource Recovery Centre,Transfer station,24-30 Fonceca Street,Mordialloc,Kingston,-37.990172,145.10446
Knox Transfer Station,Knox City Council,Resource Recovery Centre,Transfer station,251 George Street,Wantirna South,Knox,-37.8831,145.213
Korumburra Transfer Station,South Gippsland Shire Council,Resource Recovery Centre,Transfer station,Silkstone Road,Korumburra,South Gippsland,-38.446692,145.835205
Kwik Tip Bins,Tambo Waste,Resource Recovery Centre,Transfer station,1 Wellington Park Way,Sale,Wellington,-38.099358,147.096193
Kyabram - Mt Scobie Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,479 Everard Road,Kyabram,Campaspe,-36.31263,144.9805
Kyneton Transfer Station,Macedon Ranges Shire Council,Resource Recovery Centre,Transfer station,140 Redesdale Road,Kyneton,Macedon Ranges,-37.225008,144.457706
Lake Bolac Resource Recovery Centre,Ararat Rural City Council,Resource Recovery Centre,Transfer station,230 Graham Road,Lake Bolac,Ararat,-37.702585,142.828006
Lalbert Transfer Station,Gannawarra Shire Council,Resource Recovery Centre,Transfer station,Wood Avenue,Lalbert,Gannawarra,-35.67091,143.363274
Landsborough Transfer Station,Pyrenees Shire Council,Resource Recovery Centre,Transfer station,2161 Ararat-St Arnaud Road,Landsborough,Pyrenees,-37.015309,143.134839
Lardner Transfer Station,Baw Baw Shire Council,Resource Recovery Centre,Transfer station,Simpson Road North,Lardner,Baw Baw,-38.222795,145.864151
Latrobe Valley Enterprises,Latrobe Valley Enterprises,Resource Recovery Centre,Transfer station,547 Princes Drive,Morwell,Latrobe,-38.231432,146.440407
Lindenow South Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,90 Snobbs Road,Walpa,East Gippsland,-37.81463611,147.4224194
Loch Sport Transfer Station,Wellington Shire Council,Resource Recovery Centre,Transfer station,22 Progress Road,Loch Sport,Wellington,-38.064742,147.552742
Lockington Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,1671 O’Donnell Road (corner Keane Road),Lockington,Campaspe,-36.33457059,144.5067254
Longwood Resource Recovery Centre,Strathbogie Shire Council,Resource Recovery Centre,Transfer station,85 Maxfield Street,Longwood,Strathbogie,-36.80210966,145.4174325
Lorne Transfer Station,Surf Coast Shire,Resource Recovery Centre,Transfer station,370 Erskine Falls Road,Lorne,Surf Coast,-38.5293,143.947
Cleanaway Lysterfield Resource Recovery Centre,Cleanaway Pty Ltd,Resource Recovery Centre,Transfer station,840 Wellington Road,Lysterfield,Yarra Ranges,-37.942062,145.319472
Macarthur Waste Facility,Moyne Shire Council,Resource Recovery Centre,Transfer station,Myamym - Macarthur Road,Macarthur,Moyne,-38.012605,141.975249
Maldon Transfer Station,Mount Alexander Shire ,Resource Recovery Centre,Transfer station,Morris Street,Maldon,Mount Alexander,-36.993654,144.079715
Mallacoota Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,Betka Road,Mallacoota,East Gippsland,-37.573121,149.746047
